Name,latitude,longitude
South Melbourne Market,-37.832173,144.9564881
Prahran Market,-37.8460192,144.9925896
Emporium Melbourne,-37.8124148,144.9639161
Melbourne Central,-37.8100038,144.962569
Bourke Street Mall,-37.8138383,144.9644426
Chadstone Shopping Centre,-37.8866236,145.0823987
Doncaster Shopping Centre,-37.783969,145.1249511
Eastland Shopping Centre,-37.8132401,145.2290681
Crown Melbourne,-37.8233316,144.9582858
Queen Victoria Market,-37.8069984,144.9569511
Highpoint Shopping Centre,-37.7732838,144.888802
DFO South Wharf,-37.8251278,144.9491461
Northland Shopping Centre,-37.7385554,145.0299301
Westfield Fountain Gate,-38.0188178,145.3038708
The Glen Shopping Centre,-37.8763923,145.1651373
